Name,Seed,Round
Auburn,1,1
Alabama State,16,0
St Francis PA,16,0
Louisville,8,1
Creighton,9,1
Michigan,5,1
UC San Diego,12,1
Texas A&M,4,1
Yale,13,1
Ole Miss,6,1
San Diego St,11,0
UNC,11,0
Iowa State,3,1
Lipscomb,14,1
Marquette,7,1
New Mexico,10,1
Michigan St,2,1
Bryant,15,1
Florida,1,1
Norfolk St,16,1
Uconn,8,1
Oklahoma,9,1
Memphis,5,1
Colorado St,12,1
Maryland,4,1
Grand Canyon,13,1
Missouri,6,1
Drake,11,1
Texas Tech,3,1
UNC Wilmington,14,1
Kansas,7,1
Arkansas,10,1
St John's,2,1
Omaha,15,1
Duke,1,1
American,16,0
Mt St Mary's,16,0
Mississippi St,8,1
Baylor,9,1
Oregon,5,1
Liberty,12,1
Arizona,4,1
Akron,13,1
BYU,6,1
VCU,11,1
Wisconsin,3,1
Montana,14,1
Saint Mary's,7,1
Vanderbilt,10,1
Alabama,2,1
Robert Morris,15,1
Houston,1,1
SIUE,16,1
Gonzaga,8,1
Georgia,9,1
Clemson,5,1
McNeese,12,1
Purdue,4,1
High Point,13,1
Illinois,6,1
Xavier,11,0
Texas,11,0
Kentucky,3,1
Troy,14,1
UCLA,7,1
Utah State,10,1
Tennessee,2,1
Wofford,15,1
